iter	Passed	Remaining
0	85	94180
1	166	91495
2	256	93692
3	346	94970
4	452	99067
5	561	102298
6	664	103696
7	747	102035
8	842	102130
9	945	103035
10	1038	102798
11	1130	102532
12	1234	103182
13	1332	103327
14	1427	103289
15	1523	103238
16	1640	104514
17	1762	105956
18	1868	106298
19	1970	106380
20	2059	105821
21	2146	105157
22	2253	105530
23	2360	105848
24	2457	105656
25	2550	105365
26	2641	104970
27	2730	104550
28	2816	104017
29	2903	103573
30	3002	103532
31	3095	103296
32	3184	102973
33	3273	102627
34	3366	102438
35	3473	102665
36	3584	102990
37	3679	102842
38	3770	102587
39	3871	102594
40	3969	102530
41	4064	102386
42	4168	102464
43	4262	102292
44	4347	101934
45	4437	101676
46	4527	101434
47	4614	101142
48	4706	100943
49	4787	100544
50	4873	100246
51	4961	99987
52	5048	99741
53	5128	99348
54	5216	99119
55	5310	99001
56	5406	98930
57	5498	98789
58	5607	98940
59	5716	99079
60	5833	99366
61	5958	99760
62	6069	99909
63	6171	99907
64	6264	99753
65	6389	100107
66	6518	100509
67	6632	100662
68	6741	100737
69	6878	101213
70	7019	101735
71	7138	101918
72	7243	101905
73	7344	101828
74	7444	101737
75	7546	101685
76	7645	101575
77	7747	101507
78	7839	101324
79	7944	101286
80	8076	101610
81	8220	102052
82	8348	102295
83	8450	102206
84	8563	102263
85	8674	102274
86	8773	102151
87	8868	101985
88	8971	101917
89	9081	101912
90	9191	101916
91	9291	101802
92	9394	101727
93	9484	101507
94	9603	101598
95	9709	101549
96	9810	101443
97	9900	101226
98	9987	100989
99	10079	100797
100	10173	100630
101	10264	100427
102	10368	100360
103	10459	100173
104	10555	100028
105	10646	99839
106	10736	99638
107	10831	99492
108	10921	99296
109	11024	99220
110	11113	99020
111	11198	98786
112	11296	98666
113	11378	98413
114	11468	98226
115	11550	97978
116	11646	97847
117	11734	97654
118	11814	97398
119	11905	97228
120	11996	97065
121	12079	96834
122	12169	96663
123	12260	96501
124	12348	96315
125	12435	96126
126	12521	95935
127	12609	95752
128	12696	95567
129	12786	95404
130	12878	95261
131	12971	95127
132	13063	94981
133	13158	94857
134	13244	94671
135	13345	94598
136	13444	94507
137	13539	94381
138	13636	94275
139	13724	94107
140	13820	93999
141	13911	93851
142	14006	93734
143	14092	93561
144	14187	93442
145	14276	93286
146	14372	93177
147	14465	93046
148	14554	92895
149	14647	92768
150	14735	92608
151	14827	92477
152	14921	92357
153	15013	92228
154	15109	92119
155	15199	91978
156	15290	91841
157	15381	91702
158	15466	91532
159	15557	91398
160	15649	91274
161	15734	91106
162	15824	90966
163	15915	90832
164	16006	90703
165	16094	90556
166	16187	90434
167	16278	90308
168	16373	90201
169	16459	90041
170	16549	89911
171	16639	89775
172	16726	89624
173	16816	89494
174	16911	89391
175	17010	89305
176	17109	89221
177	17207	89131
178	17352	89282
179	17498	89436
180	17614	89433
181	17712	89340
182	17816	89277
183	17915	89186
184	18005	89056
185	18097	88931
186	18184	88780
187	18307	88808
188	18456	88962
189	18596	89065
190	18707	89031
191	18818	88997
192	18927	88949
193	19013	88796
194	19107	88680
195	19199	88552
196	19280	88375
197	19372	88254
198	19470	88153
199	19576	88094
200	19682	88031
201	19784	87953
202	19870	87800
203	19958	87659
204	20055	87557
205	20148	87442
206	20243	87329
207	20339	87224
208	20430	87098
209	20531	87013
210	20629	86919
211	20725	86811
212	20845	86807
213	20952	86746
214	21061	86694
215	21158	86592
216	21251	86476
217	21354	86398
218	21440	86249
219	21532	86129
220	21625	86014
221	21717	85892
222	21814	85791
223	21925	85743
224	22017	85622
225	22108	85500
226	22205	85396
227	22297	85276
228	22395	85181
229	22483	85045
230	22575	84928
231	22668	84812
232	22759	84687
233	22857	84593
234	22949	84472
235	23037	84339
236	23119	84187
237	23218	84092
238	23315	83995
239	23406	83875
240	23494	83742
241	23592	83647
242	23686	83536
243	23780	83426
244	23871	83307
245	23963	83190
246	24053	83067
247	24140	82933
248	24242	82851
249	24351	82796
250	24454	82717
251	24559	82644
252	24664	82571
253	24755	82453
254	24847	82337
255	24940	82224
256	25027	82093
257	25119	81978
258	25210	81859
259	25296	81727
